Source,Target,Label
89,11,85128925812
28,11,85128925812
12,43,85127056253
12,85,85127056253
12,11,85127056253
43,85,85127056253
43,11,85127056253
85,11,85127056253
90,91,85126194923
90,11,85126194923
91,11,85126194923
92,11,85126193052
92,93,85126193052
92,81,85126193052
11,93,85126193052
11,81,85126193052
93,81,85126193052
94,11,85121375825
82,11,85107636364
82,85,85107636364
11,85,85107636364
95,96,85108700079
95,11,85108700079
95,97,85108700079
95,81,85108700079
96,11,85108700079
96,97,85108700079
96,81,85108700079
11,97,85108700079
11,81,85108700079
97,81,85108700079
12,43,85121588563
12,11,85121588563
43,11,85121588563
11,85,85103565316
11,85,85095707593
11,86,85089305672
11,85,85089305672
86,85,85089305672
11,98,85088295237
11,85,85088295237
98,85,85088295237
11,85,85089307469
11,82,85084074212
11,99,85084074212
11,85,85084074212
82,99,85084074212
82,85,85084074212
99,85,85084074212
11,85,85064980928
11,98,85077812600
11,85,85077812600
98,85,85077812600
11,85,85059447427
11,100,85050497152
11,85,85050497152
11,83,85050497152
100,85,85050497152
100,83,85050497152
85,83,85050497152
11,85,85048530545
11,101,85048530545
85,101,85048530545
102,103,85177785504
102,104,85177785504
103,104,85177785504
77,13,85190408646
77,105,85190408646
77,103,85190408646
77,106,85190408646
13,105,85190408646
13,103,85190408646
13,106,85190408646
105,103,85190408646
105,106,85190408646
103,106,85190408646
107,103,85175975430
103,108,85135233304
103,109,85135233304
108,109,85135233304
103,108,85147923090
103,110,85147923090
103,111,85147923090
108,110,85147923090
108,111,85147923090
110,111,85147923090
112,43,85142425450
112,103,85142425450
43,103,85142425450
113,103,85130256324
113,103,85126197209
103,113,85123304464
103,114,85123304464
103,115,85123304464
113,114,85123304464
113,115,85123304464
114,115,85123304464
113,103,85118659496
113,114,85118659496
113,115,85118659496
103,114,85118659496
103,115,85118659496
114,115,85118659496
103,108,85048593501
103,111,85048593501
108,111,85048593501
103,108,85038249932
103,110,85038249932
103,111,85038249932
108,110,85038249932
108,111,85038249932
110,111,85038249932
103,108,85026361140
103,111,85026361140
108,111,85026361140
103,108,85016020257
103,110,85016020257
103,111,85016020257
108,110,85016020257
108,111,85016020257
110,111,85016020257
103,108,85008257152
103,110,85008257152
103,111,85008257152
108,110,85008257152
108,111,85008257152
110,111,85008257152
116,103,84986005324
116,117,84986005324
116,108,84986005324
116,111,84986005324
103,117,84986005324
103,108,84986005324
103,111,84986005324
117,108,84986005324
117,111,84986005324
108,111,84986005324
103,108,84961743290
103,102,84961743290
103,111,84961743290
108,102,84961743290
108,111,84961743290
102,111,84961743290
103,108,84921873479
103,111,84921873479
108,111,84921873479
13,9,85179765045
13,23,85179765045
13,14,85179765045
13,118,85179765045
13,75,85179765045
9,23,85179765045
9,14,85179765045
9,118,85179765045
9,75,85179765045
23,14,85179765045
23,118,85179765045
23,75,85179765045
14,118,85179765045
14,75,85179765045
118,75,85179765045
118,119,85176468136
118,120,85176468136
118,121,85176468136
