Id,Label,ID_Scopus_Author
412,"Matos, J.",56261451500
413,"Rosales, M.",53881895100
414,"de Navarro, C.U.",6507094780
415,"Alvarez, S.",58253117700
416,"Sanuy, N.",35956829000
417,"Ruiz, A.",7203007527
418,"Papa, J.",7004725349
419,"Guerra, J.",7102881960
420,"Ferreira, A.M.",16068361700
421,"González-Paz, R.J.",35299019000
422,"Feijoo, J.L.",7003584026
423,"Lira-Olivares, J.",7801481529
424,"Salas, N.",35115524000
425,"Salas, J.",7201384147
426,"Benzo, Z.",6701506628
427,"Marcano, E.",6603236294
428,"Gómez, C.",7201698315
429,"D'Angelo, L.",57197283294
430,"Bonyuet, D.",6508075069
431,"Vitale, G.",36939127500
432,"Castro, G.R.",55570740700
433,"Casella, R.",49963040700
434,"Figuera, L.",25228306200
435,"Noris, K.",57211666289
436,"Rodríguez, P.",23480253100
437,"Muñoz-Aguirre, N.",14424062500
438,"Martínez, E.S.-M.",6506688399
439,"Zelaya, O.",7006765958
440,"Mendoza, J.",35086607800
441,"Ochoa, J.",7101787728
442,"Talavera, I.",36345025100
443,"Réquiz, R.",6506666066
444,"Suárez, M.",25723886000
445,"León, J.",12754117600
446,"González, W.",8523901400
447,"Jorge, J.",57206479556
448,"Flahaut, E.",7003932972
449,"Gonzalez-Jimenez, F.",6701723241
450,"Gonzalez, J.",7404494222
451,"Belandria, E.",15847954700
452,"Broto, J.M.",7006552999
453,"Raquet, B.",7003487819
454,"Belandría, L.N.",26029291500
455,"Gonzàlez, C.S.",16067017200
456,"González-Cortés, S.L.",6701612947
457,"Spadavecchia, U.",36192220000
458,"Rosestela, P.",13605977700
459,"Nohemy, D.",13605380100
460,"Yanixia, S.",13606213900
461,"Ibarra, D.",16067104900
462,"Quintero, J.",36980264000
463,"Martínez, L.",57197031080
464,"Stracke, W.",6507337397
465,"Reichelt, R.",7006177098
466,"García, L.",7402429184
467,"Puchi, E.S.",7003577023
468,"Jeanette, G.",13605983300
469,"Domínguez, N.",6603674094
470,"Sánchez, Y.",7006359996
471,"Puerta, J.",12645116400
472,"Francesconi, M.S.",8930095300
473,"López, Z.E.",6507164054
474,"Uzcátegui, D.",15726534500
475,"Hernández, J.C.",7403026284
476,"Loaiza, A.",6603050896
477,"Rodríguez, G.",7203006815
478,"Lujano, J.",6507852635
479,"Ramírez, C.",57213930388
480,"Manzo, F.",6701380518
481,"Guzmán-García, C.",8212675800
482,"Reyes, J.",7202552197
483,"Reyes-Turcu, P.",6507109928
484,"Arenas, F.",7003952565
485,"Field, D.",7202713087
486,"Sáez, A.",24364815800
487,"Guzmán, C.",58451030900
488,"González, J.",25947368300
489,"Ichazo, M.",56439565800
490,"Joskowicz, P.",6507442730
491,"Keller, U.",7201367382
492,"Ricker, A.",7005540057
493,"Callarotti, R.",6701383644
494,"González, S.",55427100000
495,"Alvarez, K.",57214557232
496,"Alarcón, M.E.",7007081970
497,"Lara, B.",35334580500
498,"Rodriguez, E.",57214377356
499,"Freites, J.A.",58423902300
500,"Rojas, C.E.",55118657500
